wiki.zip.aa
t01945-2342 t01581-2359 t01699-2367 t02014-2391
Retrieving t01945 2342 bafykbzaceantezfhi5gfy22imlfbb4gofn75vnu2lo3bzje4fddiyrph2d5ls
> Recv: 0 B, Paid 0 FIL, ClientEventOpen (DealStatusNew)
> Recv: 119 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 119 MiB, Paid 0.000000000220227188 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 120 MiB, Paid 0.000000000220227188 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 120 MiB, Paid 0.000000000220227188 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 120 MiB, Paid 0.000000000251684468 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 121 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 122 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 123 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 124 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 125 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 126 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 127 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 128 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 129 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 130 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 131 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 132 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 133 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 134 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 135 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 135 MiB, Paid 0.000000000251684468 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 136 MiB, Paid 0.000000000251684468 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 136 MiB, Paid 0.000000000251684468 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 136 MiB, Paid 0.0000000002852389 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 137 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 138 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 139 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 140 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 141 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 142 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 143 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 144 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 145 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 146 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 147 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 148 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 149 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 150 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 151 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 152 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 152 MiB, Paid 0.0000000002852389 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 153 MiB, Paid 0.0000000002852389 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 153 MiB, Paid 0.0000000002852389 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 153 MiB, Paid 0.000000000320890484 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 154 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 155 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 156 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 157 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 158 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 159 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 160 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 161 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 162 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 163 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 164 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 165 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 166 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 167 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 168 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 169 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 170 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 170 MiB, Paid 0.000000000320890484 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 171 MiB, Paid 0.000000000320890484 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 171 MiB, Paid 0.000000000320890484 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 171 MiB, Paid 0.00000000035863922 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 172 MiB, Paid 0.00000000035863922 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 173 MiB, Paid 0.00000000035863922 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 174 MiB, Paid 0.00000000035863922 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 175 MiB, Paid 0.00000000035863922 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 176 MiB, Paid 0.00000000035863922 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 177 MiB, Paid 0.00000000035863922 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 178 MiB, Paid 0.00000000035863922 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 179 MiB, Paid 0.00000000035863922 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 180 MiB, Paid 0.00000000035863922 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 181 MiB, Paid 0.00000000035863922 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 182 MiB, Paid 0.00000000035863922 FIL, ClientEventBlocksReceived (DealStatusOngoing)
